,date_valid,alpine_status,alpine_status_code,treeline_status,treeline_status_code,belowtree_status,belowtree_status_code,problems
24,2011-12-26,High,4.0,High,4.0,Considerable,3.0,Check out the latest post on the Forecaster's Blog for advice on how to stay safe in the backcountry over the holidays.
25,2011-12-27,High,4.0,High,4.0,Considerable,3.0,No Text
26,2011-12-28,High,4.0,High,4.0,Considerable,3.0,No Text
27,2011-12-29,High,4.0,High,4.0,Considerable,3.0,No Text
28,2011-12-30,High,4.0,Considerable,3.0,Considerable,3.0,No Text
29,2011-12-31,High,4.0,Considerable,3.0,Considerable,3.0,No Text
30,2012-01-01,Considerable,3.0,Considerable,3.0,Moderate,2.0,No Text
31,2012-01-02,Considerable,3.0,Considerable,3.0,Moderate,2.0,No Text
32,2012-01-03,High,4.0,High,4.0,Moderate,2.0,No Text
33,2012-01-04,High,4.0,High,4.0,Considerable,3.0,No Text
34,2012-01-05,High,4.0,Considerable,3.0,Moderate,2.0,No Text
35,2012-01-06,Considerable,3.0,Moderate,2.0,Low,1.0,No Text
36,2012-01-07,Considerable,3.0,Moderate,2.0,Low,1.0,No Text
37,2012-01-08,High,4.0,Considerable,3.0,Moderate,2.0,No Text
38,2012-01-09,High,4.0,Considerable,3.0,Moderate,2.0,No Text
39,2012-01-10,Considerable,3.0,Moderate,2.0,Low,1.0,No Text
40,2012-01-11,Moderate,2.0,Moderate,2.0,Low,1.0,No Text
41,2012-01-12,Moderate,2.0,Low,1.0,Low,1.0,No Text
42,2012-01-13,Moderate,2.0,Low,1.0,Low,1.0,No Text
43,2012-01-14,Moderate,2.0,Moderate,2.0,Low,1.0,No Text
44,2012-01-15,Considerable,3.0,Considerable,3.0,Moderate,2.0,No Text
45,2012-01-16,Moderate,2.0,Moderate,2.0,Low,1.0,No Text
46,2012-01-17,Considerable,3.0,Moderate,2.0,Moderate,2.0,"Check daily for updates, as the weather forecast is highly uncertain at present. Avalanche danger ratings are likely to change as we receive updated information."
47,2012-01-18,Considerable,3.0,Moderate,2.0,Moderate,2.0,No Text
48,2012-01-19,Moderate,2.0,Moderate,2.0,Moderate,2.0,No Text
49,2012-01-20,High,4.0,Considerable,3.0,Considerable,3.0,"Very heavy, coastal-style snowfall amounts are anticipated to fall on a cold, interior-style snowpack. Unusual and dangerous avalanche conditions are anticipated."
50,2012-01-21,High,4.0,High,4.0,High,4.0,"Very heavy, coastal-style snowfall amounts are falling on a cold, interior-style snowpack. Unusual and dangerous avalanche conditions are anticipated."
51,2012-01-22,Considerable,3.0,Considerable,3.0,Considerable,3.0,"If heavy snowfall arrives during the day on Sunday, consider alpine terrain to be at High danger."
52,2012-01-23,High,4.0,Considerable,3.0,Considerable,3.0,No Text
53,2012-01-24,High,4.0,High,4.0,High,4.0,No Text
54,2012-01-25,High,4.0,High,4.0,High,4.0,No Text
55,2012-01-26,High,4.0,Considerable,3.0,Moderate,2.0,No Text
56,2012-01-27,Considerable,3.0,Considerable,3.0,Moderate,2.0,No Text
57,2012-01-28,Moderate,2.0,Moderate,2.0,Low,1.0,No Text
58,2012-01-29,High,4.0,Considerable,3.0,Moderate,2.0,No Text
59,2012-01-30,Considerable,3.0,Considerable,3.0,Moderate,2.0,No Text
60,2012-01-31,Moderate,2.0,Moderate,2.0,Low,1.0,No Text
61,2012-02-01,Considerable,3.0,Moderate,2.0,Moderate,2.0,No Text
62,2012-02-02,Considerable,3.0,Moderate,2.0,Moderate,2.0,No Text
63,2012-02-03,Moderate,2.0,Moderate,2.0,Moderate,2.0,No Text
64,2012-02-04,Considerable,3.0,Moderate,2.0,Low,1.0,No Text
65,2012-02-05,Moderate,2.0,Moderate,2.0,Low,1.0,No Text
66,2012-02-06,Moderate,2.0,Low,1.0,Low,1.0,No Text
67,2012-02-07,Moderate,2.0,Low,1.0,Low,1.0,No Text
68,2012-02-08,Moderate,2.0,Low,1.0,Low,1.0,No Text
69,2012-02-09,Moderate,2.0,Low,1.0,Low,1.0,No Text
70,2012-02-10,Considerable,3.0,Moderate,2.0,Low,1.0,No Text
71,2012-02-11,Moderate,2.0,Low,1.0,Low,1.0,No Text
72,2012-02-12,Moderate,2.0,Low,1.0,Low,1.0,No Text
73,2012-02-13,Moderate,2.0,Low,1.0,Low,1.0,No Text
74,2012-02-14,Low,1.0,Low,1.0,Low,1.0,No Text
75,2012-02-15,Low,1.0,Low,1.0,Low,1.0,No Text
76,2012-02-16,Moderate,2.0,Low,1.0,Low,1.0,No Text
77,2012-02-17,Moderate,2.0,Low,1.0,Low,1.0,No Text
78,2012-02-18,Considerable,3.0,Moderate,2.0,Low,1.0,No Text
79,2012-02-19,Considerable,3.0,Considerable,3.0,Moderate,2.0,No Text
80,2012-02-20,Moderate,2.0,Moderate,2.0,Moderate,2.0,No Text
81,2012-02-21,High,4.0,High,4.0,High,4.0,No Text
82,2012-02-22,High,4.0,High,4.0,Considerable,3.0,No Text
83,2012-02-23,Considerable,3.0,Considerable,3.0,Moderate,2.0,No Text
84,2012-02-24,High,4.0,High,4.0,Considerable,3.0,No Text
85,2012-02-25,High,4.0,Considerable,3.0,Considerable,3.0,No Text
86,2012-02-26,Considerable,3.0,Considerable,3.0,Considerable,3.0,No Text
87,2012-02-27,Considerable,3.0,Considerable,3.0,Moderate,2.0,No Text
88,2012-02-28,Considerable,3.0,Considerable,3.0,Moderate,2.0,No Text
89,2012-02-29,Considerable,3.0,Considerable,3.0,Considerable,3.0,No Text
90,2012-03-01,Considerable,3.0,Considerable,3.0,Moderate,2.0,No Text
91,2012-03-02,Considerable,3.0,Considerable,3.0,Moderate,2.0,No Text
92,2012-03-03,High,4.0,Considerable,3.0,Considerable,3.0,No Text
93,2012-03-04,Considerable,3.0,Considerable,3.0,Moderate,2.0,No Text
94,2012-03-05,High,4.0,High,4.0,Considerable,3.0,No Text
95,2012-03-06,Considerable,3.0,Considerable,3.0,Moderate,2.0,No Text
96,2012-03-07,Considerable,3.0,Moderate,2.0,Moderate,2.0,Intense solar radiation may cause a spike in avalanche activity on sun-exposed slopes.
97,2012-03-08,Considerable,3.0,Considerable,3.0,Moderate,2.0,No Text
98,2012-03-09,High,4.0,High,4.0,Considerable,3.0,No Text
99,2012-03-10,High,4.0,High,4.0,Considerable,3.0,Avalanche conditions are very dangerous at this time.
100,2012-03-11,High,4.0,High,4.0,High,4.0,No Text
101,2012-03-12,High,4.0,High,4.0,High,4.0,Monday's danger ratings assume that a major storm will arrive in the morning. The timing of this system is uncertain and danger ratings may be a bit too high if the storm arrives later.
102,2012-03-13,High,4.0,High,4.0,Considerable,3.0,No Text
103,2012-03-14,High,4.0,High,4.0,High,4.0,No Text
104,2012-03-15,Extreme,5.0,High,4.0,High,4.0,Avalanche conditions in the alpine are EXTREME. Avoid avalanche terrain.
105,2012-03-16,High,4.0,High,4.0,Considerable,3.0,No Text
106,2012-03-17,High,4.0,Considerable,3.0,Considerable,3.0,No Text
107,2012-03-18,High,4.0,Considerable,3.0,Moderate,2.0,"Avalanche danger ratings in the alpine on Sunday and Monday are HIGH where direct sunshine is affecting the slope. If it's cloudy, assume the danger is CONSIDERABLE."
108,2012-03-19,Considerable,3.0,Considerable,3.0,Moderate,2.0,Check out the latest Forecaster's Blog post below.
109,2012-03-20,High,4.0,High,4.0,Considerable,3.0,Another storm hits the region tonight into Tuesday. Strong winds and new snow has increased the avalanche danger.
110,2012-03-21,Considerable,3.0,Considerable,3.0,Moderate,2.0,No Text
111,2012-03-22,Considerable,3.0,Moderate,2.0,Moderate,2.0,No Text
112,2012-03-23,Considerable,3.0,Considerable,3.0,Moderate,2.0,No Text
113,2012-03-24,Considerable,3.0,Moderate,2.0,Moderate,2.0,"Strong solar radiation and mild temperatures this weekend will result in elevated avalanche danger during the day, particularly on sun-exposed slopes."
114,2012-03-25,Moderate,2.0,Moderate,2.0,Low,1.0,Be aware of strong solar radiation destabilizing the surface snow when the sun pokes out.
115,2012-03-26,Moderate,2.0,Moderate,2.0,Low,1.0,No Text
116,2012-03-27,Considerable,3.0,Moderate,2.0,Low,1.0,No Text
117,2012-03-28,Considerable,3.0,Considerable,3.0,Moderate,2.0,No Text
118,2012-03-29,High,4.0,Considerable,3.0,Considerable,3.0,No Text
119,2012-03-30,Considerable,3.0,Considerable,3.0,Moderate,2.0,No Text
120,2012-03-31,Considerable,3.0,Considerable,3.0,Moderate,2.0,No Text
121,2012-04-01,Considerable,3.0,Considerable,3.0,Moderate,2.0,No Text
122,2012-04-02,High,4.0,High,4.0,Considerable,3.0,No Text
123,2012-04-03,High,4.0,High,4.0,Considerable,3.0,No Text
124,2012-04-04,Considerable,3.0,Considerable,3.0,Moderate,2.0,No Text
125,2012-04-05,Considerable,3.0,Moderate,2.0,Low,1.0,No Text
126,2012-04-06,Moderate,2.0,Moderate,2.0,Low,1.0,No Text
127,2012-04-07,Considerable,3.0,Moderate,2.0,Low,1.0,Avalanche danger will rise during the day with intense spring sunshine and warming temperatures. Plan to be off big sun-exposed slopes early before the snow becomes moist or wet.
128,2012-04-08,Considerable,3.0,Moderate,2.0,Low,1.0,Avalanche danger will rise during the day with intense spring sunshine and warming temperatures. Plan to be off big sun-exposed slopes early before the snow becomes moist or wet.
129,2012-04-09,Moderate,2.0,Low,1.0,Low,1.0,No Text
130,2012-04-10,Moderate,2.0,Moderate,2.0,Low,1.0,No Text
131,2012-04-11,Moderate,2.0,Low,1.0,Low,1.0,No Text
132,2012-04-12,Moderate,2.0,Low,1.0,Low,1.0,No Text
133,2012-04-13,Moderate,2.0,Low,1.0,Low,1.0,No Text
134,2012-04-14,Moderate,2.0,Moderate,2.0,Moderate,2.0,No Text
135,2012-04-15,Moderate,2.0,Low,1.0,Low,1.0,"Avalanche danger can change during the course of a day. Avalanche danger will be LOW where there is a hard refrozen surface and may rise, with natural avalanches possible, during periods of warming."
136,2012-04-16,Moderate,2.0,Moderate,2.0,Moderate,2.0,No Text
137,2012-04-17,Moderate,2.0,Moderate,2.0,Low,1.0,No Text
138,2012-04-18,Moderate,2.0,Low,1.0,Low,1.0,No Text
139,2012-04-19,Low,1.0,Low,1.0,Low,1.0,No Text
140,2012-04-20,Considerable,3.0,Moderate,2.0,Moderate,2.0,No Text
141,2012-04-21,Considerable,3.0,Moderate,2.0,Low,1.0,No Text
142,2012-04-22,Considerable,3.0,Moderate,2.0,Moderate,2.0,Expect a spike in avalanche activity with the onset of rain. The timing of forecast rain is somewhat uncertain.
143,2012-04-23,Considerable,3.0,Considerable,3.0,Considerable,3.0,No Text
176,2012-11-26,Moderate,2.0,Moderate,2.0,Low,1.0,This bulletin is based on limited data. Local variations in conditions are likely to exist. Check out the forecaster's blog for further details on interpreting early season bulletins.
177,2012-11-27,Moderate,2.0,Moderate,2.0,Low,1.0,This bulletin is based on limited data. Local variations in conditions are likely to exist. Check out the forecaster's blog for further details on interpreting early season bulletins.
178,2012-11-28,Considerable,3.0,Moderate,2.0,Low,1.0,Avalanche danger is set to rise with stormy weather.
179,2012-11-29,High,4.0,Considerable,3.0,Moderate,2.0,No Text
180,2012-11-30,High,4.0,Considerable,3.0,Moderate,2.0,No Text
181,2012-12-01,High,4.0,Considerable,3.0,Moderate,2.0,No Text
182,2012-12-02,High,4.0,Considerable,3.0,Moderate,2.0,No Text
183,2012-12-03,High,4.0,Considerable,3.0,Moderate,2.0,No Text
184,2012-12-04,High,4.0,High,4.0,Considerable,3.0,No Text
185,2012-12-05,Considerable,3.0,Considerable,3.0,Considerable,3.0,No Text
186,2012-12-06,Considerable,3.0,Considerable,3.0,Moderate,2.0,No Text
187,2012-12-07,Considerable,3.0,Moderate,2.0,Moderate,2.0,The possibility of very large avalanches failing on the deeply buried crust is keeping the Alpine Danger elevated. I don't think we should trust big alpine slopes yet! Check out the forecast details for more info.
188,2012-12-08,Considerable,3.0,Moderate,2.0,Low,1.0,No Text
189,2012-12-09,Moderate,2.0,Moderate,2.0,Low,1.0,No Text
190,2012-12-10,Considerable,3.0,Moderate,2.0,Low,1.0,No Text
191,2012-12-11,Considerable,3.0,Considerable,3.0,Moderate,2.0,No Text
192,2012-12-12,Considerable,3.0,Moderate,2.0,Moderate,2.0,No Text
193,2012-12-13,Moderate,2.0,Moderate,2.0,Low,1.0,No Text
194,2012-12-14,Considerable,3.0,Moderate,2.0,Low,1.0,Avalanche danger is expected to rise on the weekend in response to heavy snow and strong ridge top winds.
195,2012-12-15,High,4.0,Considerable,3.0,Moderate,2.0,Avalanche danger should rise rapidly throughout the day on Saturday as snow accumulates and winds pick up.
196,2012-12-16,High,4.0,Considerable,3.0,Considerable,3.0,No Text
197,2012-12-17,High,4.0,Considerable,3.0,Moderate,2.0,No Text
198,2012-12-18,Considerable,3.0,Moderate,2.0,Moderate,2.0,No Text
199,2012-12-19,High,4.0,High,4.0,Considerable,3.0,No Text
200,2012-12-20,Considerable,3.0,Considerable,3.0,Moderate,2.0,No Text
201,2012-12-21,Considerable,3.0,Considerable,3.0,Moderate,2.0,"Weather intensity is uncertain for Thursday night and Friday. If snowfall amounts are heavy or if overnight winds are strong, avalanche danger ratings may go to High."
202,2012-12-22,Considerable,3.0,Moderate,2.0,Moderate,2.0,No Text
203,2012-12-23,Moderate,2.0,Moderate,2.0,Moderate,2.0,"Avalanche danger ratings are based on light to locally moderate accumulations on Saturday night. If snowfall amounts are higher, the danger rating will increase."
204,2012-12-24,Considerable,3.0,Considerable,3.0,Moderate,2.0,No Text
205,2012-12-25,Considerable,3.0,Moderate,2.0,Moderate,2.0,No Text
206,2012-12-26,Moderate,2.0,Moderate,2.0,Low,1.0,No Text
207,2012-12-27,Moderate,2.0,Moderate,2.0,Low,1.0,No Text
208,2012-12-28,Moderate,2.0,Moderate,2.0,Low,1.0,No Text
209,2012-12-29,Moderate,2.0,Low,1.0,Low,1.0,No Text
210,2012-12-30,Moderate,2.0,Low,1.0,Low,1.0,No Text
211,2012-12-31,Low,1.0,Low,1.0,Low,1.0,Have a safe and fun last day of the year! 
212,2013-01-01,Moderate,2.0,Low,1.0,Low,1.0,Have a safe and fun new year!
213,2013-01-02,Moderate,2.0,Low,1.0,Low,1.0,No Text
214,2013-01-03,Moderate,2.0,Low,1.0,Low,1.0,No Text
215,2013-01-04,Low,1.0,Low,1.0,Low,1.0,Low danger doesn't mean no danger. Continue to be avalanche aware and travel using good practices.
216,2013-01-05,Considerable,3.0,Moderate,2.0,Moderate,2.0,It's worth noting that the weather forecast has changed and a storm is now expected this weekend.
217,2013-01-06,Considerable,3.0,Moderate,2.0,Moderate,2.0,No Text
218,2013-01-07,Considerable,3.0,Considerable,3.0,Moderate,2.0,No Text
219,2013-01-08,Considerable,3.0,Considerable,3.0,Moderate,2.0,A significant storm is expected to impact this region starting Tuesday afternoon and overnight into Wednesday. Expect very dangerous avalanche conditions in this region through this period.
220,2013-01-09,High,4.0,High,4.0,Considerable,3.0,No Text
221,2013-01-10,Considerable,3.0,Considerable,3.0,Moderate,2.0,"Sunny skies and fresh snow will be very tempting; however, give the new snow at least a couple days to settle and strengthen before pushing out into steeper, challenging terrain."
222,2013-01-11,Considerable,3.0,Considerable,3.0,Moderate,2.0,The presence of a buried weak layer requires discipline at this time. Start with small objectives and give the new snow a little longer to gain strength before pushing into more committing terrain. 
223,2013-01-12,Considerable,3.0,Moderate,2.0,Moderate,2.0,No Text
224,2013-01-13,Moderate,2.0,Moderate,2.0,Moderate,2.0,No Text
225,2013-01-14,Considerable,3.0,Moderate,2.0,Moderate,2.0,Temperatures are forecast to rise significantly early this week. This rapid increase in temperature will result in a spike in avalanche danger. For advice on how to manage these changing conditions please refer to the latest forecaster's blog.
226,2013-01-15,Considerable,3.0,Considerable,3.0,Moderate,2.0,Alpine temperatures are forecast to climb to +10 on Tuesday! Check out the latest forecaster's blog posts for advice on how to manage these changing conditions. 
227,2013-01-16,Considerable,3.0,Moderate,2.0,Moderate,2.0,No Text
228,2013-01-17,Moderate,2.0,Moderate,2.0,Moderate,2.0,No Text
229,2013-01-18,Moderate,2.0,Moderate,2.0,Moderate,2.0,No Text
230,2013-01-19,Moderate,2.0,Moderate,2.0,Low,1.0,No Text
231,2013-01-20,Moderate,2.0,Moderate,2.0,Low,1.0,No Text
232,2013-01-21,Moderate,2.0,Low,1.0,Low,1.0,No Text
233,2013-01-22,Moderate,2.0,Low,1.0,Low,1.0,No Text
234,2013-01-23,Considerable,3.0,Considerable,3.0,Moderate,2.0,No Text
235,2013-01-24,Considerable,3.0,Considerable,3.0,Considerable,3.0,Avalanche danger will be variable due to snowfall amounts decreasing as you go inland.
236,2013-01-25,High,4.0,Considerable,3.0,Moderate,2.0,Local snowfall amounts and winds will drive the avalanche danger. These will be variable across the region. The posted ratings may be a bit high for some areas.
237,2013-01-26,Considerable,3.0,Considerable,3.0,Moderate,2.0,No Text
238,2013-01-27,Considerable,3.0,Considerable,3.0,Moderate,2.0,No Text
239,2013-01-28,Considerable,3.0,Moderate,2.0,Moderate,2.0,No Text
240,2013-01-29,Considerable,3.0,Considerable,3.0,Low,1.0,No Text
241,2013-01-30,Moderate,2.0,Moderate,2.0,Low,1.0,"If the sun pokes out, the avalanche hazard may increase to CONSIDERABLE under the effects of solar radiation."
242,2013-01-31,Moderate,2.0,Moderate,2.0,Low,1.0,No Text
243,2013-02-01,Considerable,3.0,Considerable,3.0,Moderate,2.0,No Text
244,2013-02-02,Considerable,3.0,Considerable,3.0,Moderate,2.0,Rising temperatures and intense solar radiation is the driving force for the Avalanche Danger Ratings on Saturday.
245,2013-02-03,Moderate,2.0,Moderate,2.0,Low,1.0,No Text
246,2013-02-04,Moderate,2.0,Low,1.0,Low,1.0,No Text
247,2013-02-05,Considerable,3.0,Moderate,2.0,Moderate,2.0,"If the storm arrives early, and there is more than 20cm by the afternoon, the DANGER ratings should be considered too low."
248,2013-02-06,High,4.0,Considerable,3.0,Considerable,3.0,No Text
249,2013-02-07,Considerable,3.0,Considerable,3.0,Moderate,2.0,The south end of the region has seen much more new snow than the north end. Be locally aware to the conditions where you are traveling.
250,2013-02-08,Considerable,3.0,Considerable,3.0,Moderate,2.0,"The SOUTH end of the region has significantly more new snow and will take more time to stabilize.
Be aware that the sun's rays can have a de-stabilizing effect on the new snow. Be cautious if the sun burns off the high clouds."
251,2013-02-09,Considerable,3.0,Moderate,2.0,Moderate,2.0,"Use caution at low elevations in the afternoon when the sun warms the recent storm snow, especially in areas that received more new snow."
252,2013-02-10,Considerable,3.0,Moderate,2.0,Moderate,2.0,No Text
253,2013-02-11,Moderate,2.0,Moderate,2.0,Low,1.0,No Text
254,2013-02-12,Moderate,2.0,Moderate,2.0,Low,1.0,No Text
255,2013-02-13,Moderate,2.0,Moderate,2.0,Low,1.0,No Text
256,2013-02-14,Moderate,2.0,Low,1.0,Low,1.0,No Text
257,2013-02-15,Moderate,2.0,Low,1.0,Low,1.0,No Text
258,2013-02-16,Moderate,2.0,Low,1.0,Low,1.0,No Text
259,2013-02-17,Moderate,2.0,Low,1.0,Low,1.0,No Text
260,2013-02-18,Moderate,2.0,Low,1.0,Low,1.0,No Text
261,2013-02-19,Moderate,2.0,Low,1.0,Low,1.0,No Text
262,2013-02-20,Moderate,2.0,Low,1.0,Low,1.0,No Text
263,2013-02-21,Moderate,2.0,Moderate,2.0,Low,1.0,No Text
264,2013-02-22,High,4.0,High,4.0,Considerable,3.0,No Text
265,2013-02-23,High,4.0,Considerable,3.0,Considerable,3.0,No Text
266,2013-02-24,High,4.0,Considerable,3.0,Moderate,2.0,No Text
267,2013-02-25,High,4.0,High,4.0,Considerable,3.0,No Text
268,2013-02-26,Considerable,3.0,Considerable,3.0,Considerable,3.0,No Text
269,2013-02-27,Considerable,3.0,Considerable,3.0,Moderate,2.0,No Text
270,2013-02-28,High,4.0,High,4.0,Considerable,3.0,Danger ratings are based on a very intense storm hitting the coast. There is still some uncertainty around the timing and intensity of this system.
271,2013-03-01,Extreme,5.0,High,4.0,High,4.0,No Text
272,2013-03-02,High,4.0,High,4.0,Considerable,3.0,No Text
273,2013-03-03,Considerable,3.0,Considerable,3.0,Moderate,2.0,Watch out for slopes being warmed by direct sun. This may locally raise the avalanche danger.
274,2013-03-04,Considerable,3.0,Considerable,3.0,Moderate,2.0,Watch out for slopes being warmed by direct sun. This may locally raise the avalanche danger.
275,2013-03-05,Considerable,3.0,Moderate,2.0,Low,1.0,No Text
276,2013-03-06,Moderate,2.0,Moderate,2.0,Low,1.0,No Text
277,2013-03-07,Moderate,2.0,Moderate,2.0,Low,1.0,No Text
278,2013-03-08,Moderate,2.0,Moderate,2.0,Low,1.0,No Text
279,2013-03-09,Moderate,2.0,Moderate,2.0,Low,1.0,No Text
280,2013-03-10,Moderate,2.0,Low,1.0,Low,1.0,No Text
281,2013-03-11,Moderate,2.0,Moderate,2.0,Low,1.0,No Text
282,2013-03-12,High,4.0,Considerable,3.0,Moderate,2.0,"The avalanche danger will rise throughout the day on Tuesday as snow accumulates, winds increase, and the freezing level rises."
283,2013-03-13,High,4.0,High,4.0,Considerable,3.0,No Text
284,2013-03-14,High,4.0,High,4.0,Considerable,3.0,No Text
285,2013-03-15,High,4.0,Considerable,3.0,Moderate,2.0,No Text
286,2013-03-16,Considerable,3.0,Considerable,3.0,Moderate,2.0,No Text
287,2013-03-17,Considerable,3.0,Moderate,2.0,Low,1.0,"Variable snowpack conditions, particularly at upper treeline and alpine elevations. The snowpack is proving slow to recover following the recent big storm."
288,2013-03-18,Considerable,3.0,Moderate,2.0,Moderate,2.0,No Text
289,2013-03-19,Considerable,3.0,Moderate,2.0,Low,1.0,A punchy storm makes landfall Tuesday night. Avalanche danger will increase in response to the storm.
290,2013-03-20,High,4.0,High,4.0,Considerable,3.0,No Text
291,2013-03-21,Considerable,3.0,Considerable,3.0,Moderate,2.0,No Text
292,2013-03-22,Considerable,3.0,Moderate,2.0,Low,1.0,Avalanche danger may spike on slopes receiving direct sun. Avoid travelling on or underneath sun-baked terrain.
293,2013-03-23,Considerable,3.0,Moderate,2.0,Moderate,2.0,Avalanche danger may spike on slopes receiving direct sun. Avoid travelling on or underneath sun-baked terrain.
294,2013-03-24,Moderate,2.0,Moderate,2.0,Low,1.0,No Text
295,2013-03-25,Moderate,2.0,Moderate,2.0,Low,1.0,No Text
296,2013-03-26,Moderate,2.0,Moderate,2.0,Low,1.0,Avalanche danger may spike on slopes that are getting warmed by sunshine or warm temperatures. Be alert for changing conditions throughout the day.
297,2013-03-27,Moderate,2.0,Low,1.0,Low,1.0,Avalanche danger may rise with solar radiation or daytime warming.
298,2013-03-28,Moderate,2.0,Low,1.0,Low,1.0,Avalanche danger will rise with daytime warming. Stay aware of changing conditions throughout the day.
299,2013-03-29,Low,1.0,Low,1.0,Low,1.0,Danger could INCREASE TO CONSIDERABLE with intense radiation on south and west aspects. Be aware of how the warm weather is changing the snowpack.
300,2013-03-30,Low,1.0,Low,1.0,Low,1.0,"Danger could INCREASE TO CONSIDERABLE with intense radiation on south and west aspects, especially at treeline and below. Be aware of how the warm weather is changing the snowpack."
301,2013-03-31,Low,1.0,Low,1.0,Low,1.0,"Danger could INCREASE TO CONSIDERABLE with intense radiation on south and west aspects, especially at treeline and below. Be aware of how the warm weather is changing the snowpack."
302,2013-04-01,Low,1.0,Low,1.0,Low,1.0,"Be alert to conditions that change with daytime warming. Danger ratings are likely to exceed posted levels if solar radiation is strong, especially at treeline and below."
303,2013-04-02,Low,1.0,Low,1.0,Low,1.0,No Text
304,2013-04-03,Moderate,2.0,Low,1.0,Low,1.0,No Text
305,2013-04-04,Moderate,2.0,Low,1.0,Low,1.0,No Text
306,2013-04-05,Considerable,3.0,Considerable,3.0,Moderate,2.0,We're expecting a return to winter conditions heading into the weekend. Choose conservative routes until the weather improves and the snow has a chance to stabilize.
307,2013-04-06,High,4.0,Considerable,3.0,Moderate,2.0,No Text
308,2013-04-07,Considerable,3.0,Considerable,3.0,Moderate,2.0,No Text
309,2013-04-08,Moderate,2.0,Moderate,2.0,Low,1.0,No Text
310,2013-04-09,Moderate,2.0,Moderate,2.0,Low,1.0,No Text
311,2013-04-10,Considerable,3.0,Considerable,3.0,Moderate,2.0,No Text
312,2013-04-11,Considerable,3.0,Moderate,2.0,Low,1.0,No Text
313,2013-04-12,Moderate,2.0,Moderate,2.0,Low,1.0,No Text
314,2013-04-13,Considerable,3.0,Moderate,2.0,Moderate,2.0,No Text
315,2013-04-14,Considerable,3.0,Moderate,2.0,Low,1.0,No Text
316,2013-04-15,Moderate,2.0,Moderate,2.0,Low,1.0,Danger on SOUTH and WEST facing slopes could be CONSIDERABLE in the afternoon.
317,2013-04-16,Moderate,2.0,Moderate,2.0,Low,1.0,Danger on SOUTH and WEST facing slopes could be CONSIDERABLE in the afternoon.
318,2013-04-17,Moderate,2.0,Moderate,2.0,Low,1.0,No Text
319,2013-04-18,Moderate,2.0,Moderate,2.0,Low,1.0,No Text
320,2013-04-19,Moderate,2.0,Moderate,2.0,Low,1.0,No Text
321,2013-04-20,Moderate,2.0,Low,1.0,Low,1.0,No Text
322,2013-04-21,Moderate,2.0,Low,1.0,Low,1.0,"Monday is the last day of the 2012/13 forecast season. As of Tuesday, general spring messaging will be found under the ""Forecast Details"" tab."
323,2013-04-22,Moderate,2.0,Low,1.0,Low,1.0,"The Public Avalanche Forecasts will come to an end on Tuesday. General spring messaging will be found under the ""Forecast Details"" tab below.
See you next season!"
354,2013-11-23,Low,1.0,Low,1.0,Low,1.0,This forecast is based on very limited field data. Please feel free to send your observations to forecaster@avalanche.ca.
355,2013-11-24,Low,1.0,Low,1.0,Low,1.0,This forecast is based on very limited field data. Please feel free to send your observations to forecaster@avalanche.ca.
356,2013-11-25,Low,1.0,Low,1.0,Low,1.0,No Text
