date_valid,alpine_status,alpine_status_code,treeline_status,treeline_status_code,belowtree_status,belowtree_status_code,problems
2013-04-05,Considerable,3,Considerable,3,Moderate,2,We're expecting a return to winter conditions heading into the weekend. Choose conservative routes until the weather improves and the snow has a chance to stabilize. 
2013-04-06,Considerable,3,Considerable,3,Moderate,2,"Snow accumulations could be greater in the southern part of the region, potentially resulting in locally higher avalanche danger in the Alpine on Saturday and Sunday."
2013-04-07,Considerable,3,Moderate,2,Low,1,
2013-04-08,Considerable,3,Moderate,2,Low,1,Recent snowfall amounts vary considerably from north to south. Danger ratings could be slightly higher in the Cascades where the bulk of the precipitation fell on Sunday.
2013-04-09,Moderate,2,Moderate,2,Low,1,
2013-04-10,Considerable,3,Considerable,3,Considerable,3,
2013-04-11,Considerable,3,Moderate,2,Low,1,
2013-04-12,Moderate,2,Moderate,2,Low,1,
2013-04-13,Considerable,3,Moderate,2,Low,1,
2013-04-14,Considerable,3,Moderate,2,Low,1,
2013-04-15,Considerable,3,Moderate,2,Low,1,
2013-04-16,Considerable,3,Moderate,2,Low,1,Danger on SOUTH and WEST facing slopes could be CONSIDERABLE in the afternoon.
2013-04-17,Moderate,2,Moderate,2,Low,1,
2013-04-18,Considerable,3,Moderate,2,Low,1,
2013-04-19,Considerable,3,Moderate,2,Low,1,
2013-04-20,Considerable,3,Moderate,2,Low,1,
2013-04-21,Considerable,3,Moderate,2,Low,1,"Monday is the last day of the 2012/13 forecast season. As of Tuesday, general spring messaging will be found under the ""Forecast Details"" tab."
2013-04-22,Considerable,3,Moderate,2,Low,1,"The Public Avalanche Forecasts will come to an end on Tuesday. General spring messaging will be found under the ""Forecast Details"" tab below.
See you next season!"
2013-04-23,No Rating,0,No Rating,0,No Rating,0,"We are no longer issuing Danger ratings for this region. Professional operators are finished for the season, and observations are very limited. See the “Forecast Details” tab below and the Forecaster Blog for more information."
2013-04-24,No Rating,0,No Rating,0,No Rating,0,"We are no longer issuing Danger ratings for this region. Professional operators are finished for the season, and observations are very limited. See the “Forecast Details” tab below and the Forecaster Blog for more information."
2013-04-25,No Rating,0,No Rating,0,No Rating,0,"We are no longer issuing Danger ratings for this region. Professional operators are finished for the season, and observations are very limited. See the “Forecast Details” tab below and the Forecaster Blog for more information."
2013-04-26,No Rating,0,No Rating,0,No Rating,0,"We are no longer issuing Danger ratings for this region. Professional operators are finished for the season, and observations are very limited. See the “Forecast Details” tab below and the Forecaster Blog for more information."
2013-04-27,No Rating,0,No Rating,0,No Rating,0,"We are no longer issuing Danger ratings for this region. Professional operators are finished for the season, and observations are very limited. See the “Forecast Details” tab below and the Forecaster Blog for more information."
2013-04-28,No Rating,0,No Rating,0,No Rating,0,"We are no longer issuing Danger ratings for this region. Professional operators are finished for the season, and observations are very limited. See the “Forecast Details” tab below and the Forecaster Blog for more information."
2013-04-29,No Rating,0,No Rating,0,No Rating,0,"We are no longer issuing Danger ratings for this region. Professional operators are finished for the season, and observations are very limited. See the “Forecast Details” tab below and the Forecaster Blog for more information."
2013-04-30,No Rating,0,No Rating,0,No Rating,0,"We are no longer issuing Danger ratings for this region. Professional operators are finished for the season, and observations are very limited. See the “Forecast Details” tab below and the Forecaster Blog for more information."
2013-11-01,No Rating,0,No Rating,0,No Rating,0,"We are no longer issuing Danger ratings for this region. Professional operators are finished for the season, and observations are very limited. See the “Forecast Details” tab below and the Forecaster Blog for more information."
2013-11-02,No Rating,0,No Rating,0,No Rating,0,"Daily forecasts will begin on Friday Nov 22nd, until then you have to act as your own forecaster. Here are some ideas to help you through the fall. And this should help if you’re wondering Where are the danger ratings?."
2013-11-03,No Rating,0,No Rating,0,No Rating,0,"Daily forecasts will begin on Friday Nov 22nd, until then you have to act as your own forecaster. Here are some ideas to help you through the fall. And this should help if you’re wondering Where are the danger ratings?."
2013-11-04,No Rating,0,No Rating,0,No Rating,0,"Daily forecasts will begin on Friday Nov 22nd, until then you have to act as your own forecaster. Here are some ideas to help you through the fall. And this should help if you’re wondering Where are the danger ratings?."
2013-11-05,No Rating,0,No Rating,0,No Rating,0,"Daily forecasts will begin on Friday Nov 22nd, until then you have to act as your own forecaster. Here are some ideas to help you through the fall. And this should help if you’re wondering Where are the danger ratings?."
2013-11-06,No Rating,0,No Rating,0,No Rating,0,"Daily forecasts will begin on Friday Nov 22nd, until then you have to act as your own forecaster. Here are some ideas to help you through the fall. And this should help if you’re wondering Where are the danger ratings?."
2013-11-07,No Rating,0,No Rating,0,No Rating,0,"Daily forecasts will begin on Friday Nov 22nd, until then you have to act as your own forecaster. Here are some ideas to help you through the fall. And this should help if you’re wondering Where are the danger ratings?."
2013-11-08,No Rating,0,No Rating,0,No Rating,0,"Daily forecasts begin Friday November 22nd.  Until then, visit our Forecaster Blog at blogs.avalanche.ca for significant news, conditions updates & ideas on managing early season hazards."
2013-11-09,No Rating,0,No Rating,0,No Rating,0,"Daily forecasts begin Friday November 22nd.  Until then, visit our Forecaster Blog at blogs.avalanche.ca for significant news, conditions updates & ideas on managing early season hazards."
2013-11-10,No Rating,0,No Rating,0,No Rating,0,"Daily forecasts begin Friday November 22nd.  Until then, visit our Forecaster Blog at blogs.avalanche.ca for significant news, conditions updates & ideas on managing early season hazards."
2013-11-11,No Rating,0,No Rating,0,No Rating,0,"Daily forecasts begin Friday November 22nd.  Until then, visit our Forecaster Blog at blogs.avalanche.ca for significant news, conditions updates & ideas on managing early season hazards."
2013-11-12,No Rating,0,No Rating,0,No Rating,0,"Daily forecasts begin Friday November 22nd.  Until then, visit our Forecaster Blog at blogs.avalanche.ca for significant news, conditions updates & ideas on managing early season hazards."
2013-11-13,No Rating,0,No Rating,0,No Rating,0,"Daily forecasts begin Friday November 22nd.  Until then, visit our Forecaster Blog at blogs.avalanche.ca for significant news, conditions updates & ideas on managing early season hazards."
2013-11-14,No Rating,0,No Rating,0,No Rating,0,"Daily forecasts begin Friday November 22nd.  Until then, visit our Forecaster Blog at blogs.avalanche.ca for significant news, conditions updates & ideas on managing early season hazards."
2013-11-15,No Rating,0,No Rating,0,No Rating,0,"Daily forecasts begin Friday November 22nd.  Until then, visit our Forecaster Blog at blogs.avalanche.ca for significant news, conditions updates & ideas on managing early season hazards."
2013-11-16,No Rating,0,No Rating,0,No Rating,0,"Daily forecasts begin Friday November 22nd.  Until then, visit our Forecaster Blog at blogs.avalanche.ca for significant news, conditions updates & ideas on managing early season hazards."
2013-11-17,No Rating,0,No Rating,0,No Rating,0,"Daily forecasts begin Friday November 22nd.  Until then, visit our Forecaster Blog at blogs.avalanche.ca for significant news, conditions updates & ideas on managing early season hazards."
2013-11-18,No Rating,0,No Rating,0,No Rating,0,"Daily forecasts begin Friday November 22nd.  Until then, visit our Forecaster Blog at blogs.avalanche.ca for significant news, conditions updates & ideas on managing early season hazards."
2013-11-19,No Rating,0,No Rating,0,No Rating,0,"Daily forecasts begin Friday November 22nd.  Until then, visit our Forecaster Blog at blogs.avalanche.ca for significant news, conditions updates & ideas on managing early season hazards."
2013-11-20,No Rating,0,No Rating,0,No Rating,0,"Daily forecasts begin Friday November 22nd.  Until then, visit our Forecaster Blog at blogs.avalanche.ca for significant news, conditions updates & ideas on managing early season hazards."
2013-11-21,No Rating,0,No Rating,0,No Rating,0,"Daily forecasts begin Friday November 22nd.  Until then, visit our Forecaster Blog at blogs.avalanche.ca for significant news, conditions updates & ideas on managing early season hazards."
2013-11-22,No Rating,0,No Rating,0,No Rating,0,"Daily forecasts begin Friday November 22nd.  Until then, visit our Forecaster Blog at blogs.avalanche.ca for significant news, conditions updates & ideas on managing early season hazards."
2013-11-23,Low,1,Low,1,Low,1,This forecast is based on very limited field data. Please feel free to send your observations to forecaster@avalanche.ca.
2013-11-24,Low,1,Low,1,Low,1,This forecast is based on very limited field data. Please feel free to send your observations to forecaster@avalanche.ca.
2013-11-25,Low,1,Low,1,Low,1,This bulletin was produced using very limited field data.  We would love to hear your observations if you're get out in the hills at forecaster@avalanche.ca
2013-11-26,Low,1,Low,1,Low,1,We are hungry for reports right now. If you head out into the hills let us know what you find at forecaster@avalanche.ca.
2013-11-27,Low,1,Low,1,Low,1,"If you've been out in the mountains recently, please help improve these forecasts by telling us what you see. Send a email to: forecaster@avalanche.ca."
2013-11-28,Low,1,Low,1,Low,1,"If you've been out in the mountains recently, please help improve these forecasts by telling us what you see. Send a email to: forecaster@avalanche.ca."
2013-11-29,Moderate,2,Low,1,Low,1,"A significant winter storm is approaching for Sunday bringing new snow, high winds and elevated danger ratings."
2013-11-30,Moderate,2,Moderate,2,Low,1,
2013-12-01,Considerable,3,Considerable,3,Low,1,Sunday's posted avalanche danger ratings are an average for the region. Actual avalanche danger may be HIGH in the south of the region where heavy snowfall is forecast.
2013-12-02,Moderate,2,Moderate,2,Low,1,"Ongoing snowfall may occur in the south of the region on Monday. If accumulations are significant, danger ratings may be higher than posted."
2013-12-03,Considerable,3,Moderate,2,Low,1,Recent snowfall amounts have been highly variable across the region with southern areas receiving the highest accumulations. The posted danger ratings are intended to reflect these areas.
2013-12-04,Moderate,2,Moderate,2,Low,1,
2013-12-05,Moderate,2,Moderate,2,Low,1,Be cautious on all wind exposed slopes at tree line and above
2013-12-06,Moderate,2,Moderate,2,Low,1,
2013-12-07,Moderate,2,Moderate,2,Low,1,
2013-12-08,Moderate,2,Moderate,2,Low,1,
2013-12-09,Moderate,2,Moderate,2,Low,1,
2013-12-10,Moderate,2,Moderate,2,Low,1,
2013-12-11,Moderate,2,Moderate,2,Low,1,
2013-12-12,Moderate,2,Moderate,2,Low,1,Avalanche danger may be higher than posted in areas that receive more snow than forecast.
2013-12-13,Moderate,2,Moderate,2,Low,1,
2013-12-14,Considerable,3,Moderate,2,Low,1,
2013-12-15,Moderate,2,Low,1,Low,1,
2013-12-16,Moderate,2,Moderate,2,Low,1,
2013-12-17,Moderate,2,Low,1,Low,1,
2013-12-18,Moderate,2,Low,1,Low,1,
2013-12-19,Moderate,2,Low,1,Low,1,
2013-12-20,Moderate,2,Moderate,2,Low,1,
2013-12-21,Moderate,2,Low,1,Low,1,
2013-12-22,Moderate,2,Moderate,2,Low,1,
2013-12-23,Considerable,3,Considerable,3,Moderate,2,
2013-12-24,Moderate,2,Moderate,2,Low,1,
2013-12-25,Moderate,2,Moderate,2,Low,1,
2013-12-26,Considerable,3,Moderate,2,Low,1,
2013-12-27,Moderate,2,Moderate,2,Low,1,
2013-12-28,Moderate,2,Moderate,2,Low,1,
2013-12-29,Moderate,2,Moderate,2,Low,1,
2013-12-30,Moderate,2,Moderate,2,Low,1,
2013-12-31,Moderate,2,Moderate,2,Low,1,
2014-01-01,Moderate,2,Moderate,2,Low,1,
2014-01-02,Considerable,3,Moderate,2,Low,1,
2014-01-03,Considerable,3,Moderate,2,Low,1,
2014-01-04,Considerable,3,Moderate,2,Low,1,
2014-01-05,Moderate,2,Moderate,2,Low,1,
2014-01-06,Moderate,2,Moderate,2,Low,1,Warm air in the alpine combined with strong solar radiation may result in elevated danger on South aspects where buried surface hoar and crusts are a concern.
2014-01-07,Moderate,2,Moderate,2,Low,1,
2014-01-08,Considerable,3,Moderate,2,Low,1,Forecast snowfall amounts are highly variable throughout the region with the southern areas expecting the see the highest accumulations. Pay attention to local conditions.
2014-01-09,Considerable,3,Moderate,2,Low,1,
2014-01-10,Considerable,3,Considerable,3,Low,1,Southern parts of the region could see more snow on Thursday night and Friday. Danger ratings reflect higher snowfall amounts. Be sure to make keen local observations. 
2014-01-11,High,4,High,4,Moderate,2,The forecast snow will be a significant test for weak layers buried deep in the snowpack and will likely cause a natural cycle of deep large avalanches.
2014-01-12,High,4,High,4,Moderate,2,Weather patterns are divided across the the region: a clearing trend is forecast the north and continued precipitation is expected in the south. Forecast avalanche danger ratings most accurately reflect conditions in areas where snowfall continues.
2014-01-13,Considerable,3,Considerable,3,Moderate,2,"Weather patterns are divided across the the region: a clearing trend is forecast for the north, continued precipitation is expected on the Coquilhalla. Avalanche danger will be locally higher in areas that continue to receive heavy snowfall and wind."
2014-01-14,Considerable,3,Moderate,2,Low,1,Local avalanche conditions differ greatly across the region.  In areas where until recently the snow pack has been unusually it is possible to trigger large and destructive avalanches.  Now is a good time to make conservative terrain choices.
2014-01-15,Considerable,3,Moderate,2,Low,1,"Local avalanche conditions differ greatly across the region.  In areas where until recently the snow pack has been unusually thin, it is possible to trigger large and destructive avalanches. "
2014-01-16,Considerable,3,Considerable,3,Moderate,2,"Warm temperatures and sunny skies forecast for the next few days will have a significant weakening effect on the snowpack. If solar radiation is particularly strong, the avalanche danger could rise to HIGH."
2014-01-17,High,4,Considerable,3,Moderate,2,
2014-01-18,Considerable,3,Moderate,2,Moderate,2,The possibility exists for a large avalanche to run on deep weak layers due to the impact of warm temperatures and solar activity.
2014-01-19,Moderate,2,Moderate,2,Low,1,
2014-01-20,Moderate,2,Moderate,2,Low,1,
2014-01-21,Moderate,2,Moderate,2,Low,1,
2014-01-22,Moderate,2,Moderate,2,Low,1,
2014-01-23,Moderate,2,Moderate,2,Low,1,
2014-01-24,Moderate,2,Moderate,2,Low,1,
2014-01-25,Moderate,2,Moderate,2,Low,1,Check out the latest blog post on deep persistent slab problems.
2014-01-26,Moderate,2,Moderate,2,Low,1,Check out the latest blog post on deep persistent slab problems.
2014-01-27,Moderate,2,Low,1,Low,1,
2014-01-28,Low,1,Low,1,Low,1,Freezing levels are dropping and some new snow is on the way. Deep persistent slab problems may still exist in isolated areas. Please see blog post for more information.
2014-01-29,Low,1,Low,1,Low,1,Some thin new wind slabs are expected to develop with the forecast new snow. New snow is not expected to bond well to the old hard surface where surface hoar and/or facets exist.
2014-01-30,Moderate,2,Moderate,2,Low,1,Danger ratings are for areas in the South of the region that have already received 10 cm new snow and are forecast for 5-10 cm more by morning. These ratings may be a bit too high for other areas.
2014-01-31,Moderate,2,Moderate,2,Low,1,30 cm of dry new snow in the South of the region may be reverse loaded by building Northerly winds. Watch for pockets of wind slab.
2014-02-01,Moderate,2,Low,1,Low,1,
2014-02-02,Moderate,2,Low,1,Low,1,
2014-02-03,Low,1,Low,1,Low,1,
2014-02-04,Low,1,Low,1,Low,1,
2014-02-05,Low,1,Low,1,Low,1,CAC Mobile App version 3.0 is now available on iTunes and Google Play featuring the new Observer Network. See this blog post for more details.
2014-02-06,Low,1,Low,1,Low,1,CAC Mobile App v3.0 is now available on the App Store (iOS) and Google Play (Android) featuring the new Observer Network. See this blog post for more details.
2014-02-07,Low,1,Low,1,Low,1,CAC Mobile App v3.0 is now available on the App Store (iOS) and Google Play (Android) featuring the new Observer Network. See this blog post for more details.
2014-02-08,Low,1,Low,1,Low,1,
2014-02-09,Low,1,Low,1,Low,1,
2014-02-10,Considerable,3,Moderate,2,Low,1,"You may be powder-starved, but mother nature is calling the shots with touchy, high consequence conditions expected for the forecast period. Conservative terrain selection will become critical."
2014-02-11,Considerable,3,Considerable,3,Low,1,Forecast snowfall amounts vary dramatically across the region. Tuesday's danger ratings may reach high in the Coquihalla area if new snowfall amounts exceed 20cm.
2014-02-12,High,4,Considerable,3,Moderate,2,
2014-02-13,High,4,Considerable,3,Considerable,3,
2014-02-14,High,4,Considerable,3,Considerable,3,
2014-02-15,Considerable,3,Considerable,3,Considerable,3,Conservative terrain selection is critical. Don't let the lull before the next storm lure you into a more aggressive approach. Dangerous avalanche conditions still exist.
2014-02-16,High,4,High,4,Considerable,3,
2014-02-17,High,4,High,4,Considerable,3,
2014-02-18,High,4,High,4,Considerable,3,
2014-02-19,High,4,High,4,Considerable,3,
2014-02-20,High,4,High,4,Considerable,3,
2014-02-21,High,4,High,4,Considerable,3,We'll soon be moving from a storm slab problem to a persistent slab problem. Check out this blog post for thoughts on the current situation and strategies for the next the chapter.
2014-02-22,High,4,High,4,Considerable,3,As the last Pacific storms move through we`ll be changing from a storm slab to a persistent slab regime. Check out this great overview of the problem on the forecasters blog.
2014-02-23,High,4,Considerable,3,Considerable,3,Conditions are primed for triggering avalanches. Conservative decision making is essential. Check out the latest forecaster blog for more discussion on the current conditions.
2014-02-24,Considerable,3,Considerable,3,Considerable,3,"Conservative route selection is key, especially when the sun finally pokes out and if temperatures warm as forecast."
2014-02-25,Considerable,3,Considerable,3,Considerable,3,Don't let blue skies and fresh snow lure you into big terrain! A buried persistent weak layer is still lurking and could wake up with forecast sunshine and rapidly rising temperatures.
2014-02-26,Considerable,3,Considerable,3,Considerable,3,Forecast sun and high freezing levels may increase the danger from loose wet avalanches and avalanches stepping down to the deeply buried weak layer.
2014-02-27,Considerable,3,Considerable,3,Moderate,2,Above freezing alpine temperatures are expected to continue. Check out the new Forecaster Blog for an update on the “Touchy Weak Layer.”
2014-02-28,Considerable,3,Moderate,2,Low,1,Don’t let your guard down! The deeply buried weak layer may continue to be well preserved on shaded aspects. More info in the new blog post!
2014-03-01,Considerable,3,Moderate,2,Low,1,The February weak layer continues to be a concern for triggering a very large avalanche. See the Forecaster Blog for more information.
2014-03-02,Considerable,3,Moderate,2,Low,1,Forecast new snow and strong winds are expected to develop a new storm slab over the next few days. The buried weak layer from early February continues to be a concern. Check out the forecasters’ blog.
2014-03-03,Considerable,3,Considerable,3,Moderate,2,New snow and wind are developing a new storm slab that may not bond well to the old surface of crusts and facetted crystals. Check out the forecaster blog for more information on the persistent weak layer.
