date_valid,alpine_status,alpine_status_code,treeline_status,treeline_status_code,belowtree_status,belowtree_status_code
2013-04-08,Moderate,2,Moderate,2,Low,1
2013-04-09,Moderate,2,Moderate,2,Low,1
2013-04-10,Considerable,3,Considerable,3,Considerable,3
2013-04-11,Considerable,3,Moderate,2,Low,1
2013-04-12,Moderate,2,Moderate,2,Low,1
2013-04-13,Considerable,3,Moderate,2,Moderate,2
2013-04-14,Considerable,3,Moderate,2,Low,1
2013-04-15,Considerable,3,Moderate,2,Low,1
2013-04-16,Considerable,3,Moderate,2,Low,1
2013-04-17,Moderate,2,Moderate,2,Low,1
2013-04-18,Moderate,2,Moderate,2,Low,1
2013-04-19,Considerable,3,Moderate,2,Low,1
2013-04-20,Considerable,3,Moderate,2,Low,1
2013-04-21,Considerable,3,Moderate,2,Low,1
2013-04-22,Moderate,2,Moderate,2,Low,1
2013-04-23,No Rating,0,No Rating,0,No Rating,0
2013-04-24,No Rating,0,No Rating,0,No Rating,0
2013-04-25,No Rating,0,No Rating,0,No Rating,0
2013-04-26,No Rating,0,No Rating,0,No Rating,0
2013-04-27,No Rating,0,No Rating,0,No Rating,0
2013-04-28,No Rating,0,No Rating,0,No Rating,0
2013-04-29,No Rating,0,No Rating,0,No Rating,0
2013-04-30,No Rating,0,No Rating,0,No Rating,0
2013-05-01,No Rating,0,No Rating,0,No Rating,0
2013-11-02,No Rating,0,No Rating,0,No Rating,0
2013-11-03,No Rating,0,No Rating,0,No Rating,0
2013-11-04,No Rating,0,No Rating,0,No Rating,0
2013-11-05,No Rating,0,No Rating,0,No Rating,0
2013-11-06,No Rating,0,No Rating,0,No Rating,0
2013-11-07,No Rating,0,No Rating,0,No Rating,0
2013-11-08,No Rating,0,No Rating,0,No Rating,0
2013-11-09,No Rating,0,No Rating,0,No Rating,0
2013-11-10,No Rating,0,No Rating,0,No Rating,0
2013-11-11,No Rating,0,No Rating,0,No Rating,0
2013-11-12,No Rating,0,No Rating,0,No Rating,0
2013-11-13,No Rating,0,No Rating,0,No Rating,0
2013-11-14,No Rating,0,No Rating,0,No Rating,0
2013-11-15,No Rating,0,No Rating,0,No Rating,0
2013-11-16,No Rating,0,No Rating,0,No Rating,0
2013-11-17,No Rating,0,No Rating,0,No Rating,0
2013-11-18,No Rating,0,No Rating,0,No Rating,0
2013-11-19,No Rating,0,No Rating,0,No Rating,0
2013-11-20,No Rating,0,No Rating,0,No Rating,0
2013-11-21,No Rating,0,No Rating,0,No Rating,0
2013-11-22,No Rating,0,No Rating,0,No Rating,0
2013-11-23,No Rating,0,No Rating,0,No Rating,0
2013-11-24,Low,1,Low,1,Low,1
2013-11-25,Low,1,Low,1,Low,1
2013-11-26,Low,1,Low,1,Low,1
2013-11-27,Low,1,Low,1,Low,1
2013-11-28,Low,1,Low,1,Low,1
2013-11-29,Low,1,Low,1,Low,1
2013-11-30,Considerable,3,Moderate,2,Low,1
2013-12-01,High,4,Considerable,3,Moderate,2
2013-12-02,Considerable,3,Moderate,2,Low,1
2013-12-03,Moderate,2,Low,1,Low,1
2013-12-04,Moderate,2,Moderate,2,Low,1
2013-12-05,Moderate,2,Low,1,Low,1
2013-12-06,Moderate,2,Low,1,Low,1
2013-12-07,Moderate,2,Low,1,Low,1
2013-12-08,Moderate,2,Moderate,2,Low,1
2013-12-09,Moderate,2,Moderate,2,Low,1
2013-12-10,Moderate,2,Moderate,2,Low,1
2013-12-11,Moderate,2,Moderate,2,Low,1
2013-12-12,Moderate,2,Moderate,2,Low,1
2013-12-13,Moderate,2,Moderate,2,Low,1
2013-12-14,Considerable,3,Moderate,2,Low,1
2013-12-15,Considerable,3,Moderate,2,Low,1
2013-12-16,Moderate,2,Low,1,Low,1
2013-12-17,Moderate,2,Moderate,2,Low,1
2013-12-18,Moderate,2,Low,1,Low,1
2013-12-19,Moderate,2,Low,1,Low,1
2013-12-20,Moderate,2,Moderate,2,Low,1
2013-12-21,Moderate,2,Moderate,2,Low,1
2013-12-22,Moderate,2,Low,1,Low,1
2013-12-23,Considerable,3,Considerable,3,Low,1
2013-12-24,Moderate,2,Moderate,2,Low,1
2013-12-25,Moderate,2,Moderate,2,Low,1
2013-12-26,Considerable,3,Moderate,2,Low,1
2013-12-27,Moderate,2,Moderate,2,Low,1
2013-12-28,Moderate,2,Moderate,2,Low,1
2013-12-29,Moderate,2,Moderate,2,Low,1
2013-12-30,Moderate,2,Moderate,2,Low,1
2013-12-31,Moderate,2,Moderate,2,Low,1
2014-01-01,Moderate,2,Moderate,2,Low,1
2014-01-02,Considerable,3,Moderate,2,Low,1
2014-01-03,Considerable,3,Moderate,2,Low,1
2014-01-04,Moderate,2,Moderate,2,Low,1
2014-01-05,Moderate,2,Moderate,2,Low,1
2014-01-06,Moderate,2,Moderate,2,Low,1
2014-01-07,Moderate,2,Moderate,2,Low,1
2014-01-08,Considerable,3,Moderate,2,Low,1
2014-01-09,Considerable,3,Considerable,3,Low,1
2014-01-10,Considerable,3,Considerable,3,Low,1
2014-01-11,High,4,High,4,Moderate,2
2014-01-12,High,4,High,4,Moderate,2
2014-01-13,High,4,High,4,Moderate,2
2014-01-14,Considerable,3,Moderate,2,Low,1
2014-01-15,Considerable,3,Moderate,2,Low,1
2014-01-16,Considerable,3,Moderate,2,Moderate,2
2014-01-17,Considerable,3,Considerable,3,Moderate,2
2014-01-18,Considerable,3,Moderate,2,Moderate,2
2014-01-19,Moderate,2,Moderate,2,Low,1
2014-01-20,Moderate,2,Moderate,2,Low,1
2014-01-21,Moderate,2,Moderate,2,Low,1
2014-01-22,Moderate,2,Low,1,Low,1
2014-01-23,Moderate,2,Moderate,2,Low,1
2014-01-24,Moderate,2,Moderate,2,Low,1
2014-01-25,Moderate,2,Moderate,2,Low,1
2014-01-26,Moderate,2,Moderate,2,Low,1
2014-01-27,Moderate,2,Low,1,Low,1
2014-01-28,Low,1,Low,1,Low,1
2014-01-29,Moderate,2,Moderate,2,Low,1
2014-01-30,Moderate,2,Low,1,Low,1
2014-01-31,Moderate,2,Low,1,Low,1
2014-02-01,Moderate,2,Low,1,Low,1
2014-02-02,Low,1,Low,1,Low,1
2014-02-03,Low,1,Low,1,Low,1
2014-02-04,Low,1,Low,1,Low,1
2014-02-05,Low,1,Low,1,Low,1
2014-02-06,Low,1,Low,1,Low,1
2014-02-07,Low,1,Low,1,Low,1
2014-02-08,Low,1,Low,1,Low,1
2014-02-09,Low,1,Low,1,Low,1
2014-02-10,Considerable,3,Moderate,2,Low,1
2014-02-11,High,4,Considerable,3,Moderate,2
2014-02-12,High,4,High,4,Moderate,2
2014-02-13,High,4,High,4,Considerable,3
2014-02-14,High,4,High,4,Considerable,3
2014-02-15,Considerable,3,Considerable,3,Considerable,3
2014-02-16,High,4,High,4,Considerable,3
2014-02-17,High,4,High,4,Considerable,3
2014-02-18,High,4,High,4,Considerable,3
2014-02-19,High,4,High,4,Considerable,3
2014-02-20,High,4,Considerable,3,Considerable,3
2014-02-21,High,4,Considerable,3,Moderate,2
2014-02-22,High,4,Considerable,3,Considerable,3
2014-02-23,High,4,High,4,Considerable,3
2014-02-24,Considerable,3,Considerable,3,Considerable,3
2014-02-25,Considerable,3,Considerable,3,Considerable,3
2014-02-26,High,4,Considerable,3,Considerable,3
2014-02-27,Considerable,3,Considerable,3,Considerable,3
2014-02-28,Considerable,3,Moderate,2,Low,1
2014-03-01,Considerable,3,Moderate,2,Low,1
2014-03-02,Considerable,3,Moderate,2,Low,1
2014-03-03,Considerable,3,Considerable,3,Moderate,2
2014-03-04,Considerable,3,Moderate,2,Moderate,2
2014-03-05,High,4,Considerable,3,Considerable,3
2014-03-06,High,4,Considerable,3,Considerable,3
2014-03-07,Considerable,3,Considerable,3,Considerable,3
2014-03-08,High,4,High,4,Considerable,3
2014-03-09,High,4,High,4,Considerable,3
2014-03-10,Considerable,3,Considerable,3,Moderate,2
2014-03-11,Considerable,3,Considerable,3,Moderate,2
2014-03-12,Considerable,3,Moderate,2,Moderate,2
2014-03-13,Moderate,2,Moderate,2,Low,1
2014-03-14,Considerable,3,Moderate,2,Low,1
2014-03-15,High,4,High,4,Considerable,3
2014-03-16,High,4,High,4,Considerable,3
2014-03-17,Considerable,3,Considerable,3,Moderate,2
2014-03-18,Considerable,3,Considerable,3,Moderate,2
2014-03-19,High,4,Considerable,3,Moderate,2
2014-03-20,Considerable,3,Considerable,3,Moderate,2
2014-03-21,Considerable,3,Moderate,2,Moderate,2
2014-03-22,Considerable,3,Moderate,2,Low,1
2014-03-23,Moderate,2,Moderate,2,Low,1
2014-03-24,Moderate,2,Moderate,2,Low,1
2014-03-25,Considerable,3,Considerable,3,Moderate,2
2014-03-26,Considerable,3,Moderate,2,Low,1
2014-03-27,Moderate,2,Moderate,2,Low,1
2014-03-28,Considerable,3,Moderate,2,Moderate,2
2014-03-29,High,4,Considerable,3,Considerable,3
2014-03-30,Considerable,3,Considerable,3,Moderate,2
2014-03-31,Considerable,3,Considerable,3,Moderate,2
2014-04-01,Considerable,3,Considerable,3,Moderate,2
2014-04-02,Considerable,3,Moderate,2,Moderate,2
2014-04-03,Moderate,2,Moderate,2,Low,1
2014-04-04,High,4,High,4,Considerable,3
2014-04-05,Considerable,3,Moderate,2,Moderate,2
2014-04-06,Considerable,3,Considerable,3,Moderate,2
2014-04-07,Considerable,3,Considerable,3,Moderate,2
2014-04-08,Considerable,3,Considerable,3,Considerable,3
2014-04-09,Considerable,3,Considerable,3,Moderate,2
2014-04-10,Considerable,3,Moderate,2,Moderate,2
2014-04-11,Moderate,2,Moderate,2,Moderate,2
2014-04-12,Moderate,2,Moderate,2,Low,1
2014-04-13,Moderate,2,Low,1,Low,1
2014-04-14,Moderate,2,Low,1,Low,1
2014-04-15,Moderate,2,Low,1,Low,1
2014-04-16,Moderate,2,Low,1,Low,1
2014-04-17,Considerable,3,Moderate,2,Low,1
2014-04-18,Moderate,2,Moderate,2,Low,1
2014-04-19,Moderate,2,Moderate,2,Low,1
2014-04-20,Considerable,3,Considerable,3,Moderate,2
2014-04-21,Considerable,3,Moderate,2,Low,1
2014-04-22,Moderate,2,Moderate,2,Low,1
2014-04-23,Moderate,2,Moderate,2,Low,1
2014-04-24,Moderate,2,Moderate,2,Low,1
2014-04-25,Moderate,2,Moderate,2,Low,1
2014-04-26,No Rating,0,No Rating,0,No Rating,0
2014-04-27,No Rating,0,No Rating,0,No Rating,0
2014-04-28,No Rating,0,No Rating,0,No Rating,0
2014-04-29,No Rating,0,No Rating,0,No Rating,0
2014-04-30,No Rating,0,No Rating,0,No Rating,0
2014-05-01,No Rating,0,No Rating,0,No Rating,0
2014-11-02,No Rating,0,No Rating,0,No Rating,0
2014-11-03,No Rating,0,No Rating,0,No Rating,0
2014-11-04,No Rating,0,No Rating,0,No Rating,0
2014-11-05,No Rating,0,No Rating,0,No Rating,0
2014-11-06,No Rating,0,No Rating,0,No Rating,0
2014-11-07,No Rating,0,No Rating,0,No Rating,0
2014-11-08,No Rating,0,No Rating,0,No Rating,0
2014-11-09,No Rating,0,No Rating,0,No Rating,0
2014-11-10,No Rating,0,No Rating,0,No Rating,0
2014-11-11,No Rating,0,No Rating,0,No Rating,0
2014-11-12,No Rating,0,No Rating,0,No Rating,0
2014-11-13,No Rating,0,No Rating,0,No Rating,0
2014-11-14,No Rating,0,No Rating,0,No Rating,0
2014-11-15,No Rating,0,No Rating,0,No Rating,0
2014-11-16,No Rating,0,No Rating,0,No Rating,0
2014-11-17,No Rating,0,No Rating,0,No Rating,0
2014-11-18,No Rating,0,No Rating,0,No Rating,0
2014-11-19,No Rating,0,No Rating,0,No Rating,0
2014-11-20,No Rating,0,No Rating,0,No Rating,0
2014-11-21,No Rating,0,No Rating,0,No Rating,0
2014-11-22,No Rating,0,No Rating,0,No Rating,0
2014-11-23,Moderate,2,No Rating,0,No Rating,0
2014-11-24,Moderate,2,No Rating,0,No Rating,0
2014-11-25,Considerable,3,No Rating,0,No Rating,0
2014-11-26,Considerable,3,Moderate,2,No Rating,0
2014-11-27,Considerable,3,Moderate,2,No Rating,0
2014-11-28,Considerable,3,Moderate,2,Low,1
2014-11-29,Moderate,2,Moderate,2,Low,1
2014-11-30,Moderate,2,Low,1,Low,1
2014-12-01,Moderate,2,Low,1,Low,1
2014-12-02,Moderate,2,Low,1,Low,1
2014-12-03,Moderate,2,Low,1,Low,1
2014-12-04,Moderate,2,Low,1,Low,1
2014-12-05,Moderate,2,Moderate,2,Low,1
2014-12-06,Moderate,2,Moderate,2,Low,1
2014-12-07,Moderate,2,Moderate,2,Low,1
2014-12-08,Moderate,2,Moderate,2,Low,1
2014-12-09,High,4,High,4,Low,1
2014-12-10,High,4,Considerable,3,Low,1
2014-12-11,Considerable,3,Moderate,2,Low,1
2014-12-12,Considerable,3,Moderate,2,Low,1
2014-12-13,Considerable,3,Moderate,2,Low,1
2014-12-14,Moderate,2,Moderate,2,Low,1
2014-12-15,Moderate,2,Low,1,Low,1
2014-12-16,Moderate,2,Low,1,Low,1
2014-12-17,Moderate,2,Low,1,Low,1
2014-12-18,Moderate,2,Moderate,2,Low,1
2014-12-19,Considerable,3,Moderate,2,Low,1
2014-12-20,Considerable,3,Considerable,3,Moderate,2
2014-12-21,High,4,Considerable,3,Moderate,2
2014-12-22,Moderate,2,Moderate,2,Low,1
2014-12-23,Considerable,3,Considerable,3,Moderate,2
2014-12-24,Considerable,3,Considerable,3,Moderate,2
2014-12-25,Considerable,3,Considerable,3,Moderate,2
2014-12-26,Considerable,3,Considerable,3,Moderate,2
2014-12-27,Moderate,2,Moderate,2,Low,1
2014-12-28,Moderate,2,Moderate,2,Low,1
2014-12-29,Moderate,2,Moderate,2,Moderate,2
2014-12-30,Moderate,2,Moderate,2,Low,1
2014-12-31,Moderate,2,Moderate,2,Low,1
2015-01-01,Considerable,3,Moderate,2,Moderate,2
2015-01-02,Considerable,3,Moderate,2,Low,1
2015-01-03,Moderate,2,Moderate,2,Low,1
2015-01-04,Considerable,3,Considerable,3,Moderate,2
2015-01-05,High,4,High,4,Considerable,3
2015-01-06,High,4,Considerable,3,Moderate,2
2015-01-07,Considerable,3,Considerable,3,Moderate,2
2015-01-08,Moderate,2,Moderate,2,Low,1
2015-01-09,Moderate,2,Moderate,2,Low,1
2015-01-10,Moderate,2,Low,1,Low,1
2015-01-11,Moderate,2,Low,1,Low,1
2015-01-12,Moderate,2,Low,1,Low,1
2015-01-13,Moderate,2,Low,1,Low,1
2015-01-14,Moderate,2,Low,1,Low,1
2015-01-15,Moderate,2,Moderate,2,Low,1
2015-01-16,Considerable,3,Moderate,2,Low,1
2015-01-17,Considerable,3,Moderate,2,Low,1
2015-01-18,Considerable,3,Considerable,3,Moderate,2
2015-01-19,Considerable,3,Considerable,3,Moderate,2
2015-01-20,Considerable,3,Moderate,2,Moderate,2
2015-01-21,Considerable,3,Moderate,2,Low,1
2015-01-22,Moderate,2,Moderate,2,Low,1
2015-01-23,Considerable,3,Moderate,2,Moderate,2
2015-01-24,Considerable,3,Considerable,3,Considerable,3
2015-01-25,Considerable,3,Considerable,3,Considerable,3
2015-01-26,Considerable,3,Moderate,2,Moderate,2
2015-01-27,Moderate,2,Moderate,2,Low,1
2015-01-28,Moderate,2,Low,1,Low,1
2015-01-29,Moderate,2,Low,1,Low,1
2015-01-30,Moderate,2,Low,1,Low,1
2015-01-31,Low,1,Low,1,Low,1
2015-02-01,Moderate,2,Low,1,Low,1
2015-02-02,Moderate,2,Moderate,2,Low,1
2015-02-03,Moderate,2,Moderate,2,Low,1
2015-02-04,Moderate,2,Moderate,2,Low,1
2015-02-05,Considerable,3,Considerable,3,Considerable,3
2015-02-06,High,4,Considerable,3,Moderate,2
2015-02-07,Considerable,3,Considerable,3,Moderate,2
2015-02-08,Considerable,3,Considerable,3,Considerable,3
2015-02-09,Considerable,3,Considerable,3,Moderate,2
2015-02-10,Considerable,3,Moderate,2,Moderate,2
2015-02-11,Considerable,3,Moderate,2,Moderate,2
2015-02-12,Considerable,3,Considerable,3,Moderate,2
2015-02-13,Considerable,3,Moderate,2,Low,1
2015-02-14,Moderate,2,Low,1,Low,1
2015-02-15,Moderate,2,Low,1,Low,1
2015-02-16,Moderate,2,Low,1,Low,1
2015-02-17,Low,1,Low,1,Low,1
2015-02-18,Low,1,Low,1,Low,1
2015-02-19,Moderate,2,Low,1,Low,1
2015-02-20,Low,1,Low,1,Low,1
2015-02-21,Low,1,Low,1,Low,1
2015-02-22,Moderate,2,Low,1,Low,1
2015-02-23,Moderate,2,Moderate,2,Low,1
2015-02-24,Low,1,Low,1,Low,1
2015-02-25,Low,1,Low,1,Low,1
2015-02-26,Low,1,Low,1,Low,1
2015-02-27,Low,1,Low,1,Low,1
2015-02-28,Low,1,Low,1,Low,1
2015-03-01,Low,1,Low,1,Low,1
2015-03-02,Low,1,Low,1,Low,1
2015-03-03,Low,1,Low,1,Low,1
2015-03-04,Low,1,Low,1,Low,1
2015-03-05,Low,1,Low,1,Low,1
2015-03-06,Low,1,Low,1,Low,1
2015-03-07,Low,1,Low,1,Low,1
2015-03-08,Low,1,Low,1,Low,1
2015-03-09,Low,1,Low,1,Low,1
2015-03-10,Low,1,Low,1,Low,1
2015-03-11,Moderate,2,Moderate,2,Low,1
2015-03-12,Moderate,2,Moderate,2,Low,1
2015-03-13,Moderate,2,Moderate,2,Low,1
2015-03-14,Considerable,3,Moderate,2,Low,1
2015-03-15,Moderate,2,Moderate,2,Low,1
2015-03-16,Moderate,2,Moderate,2,Low,1
2015-03-17,Moderate,2,Moderate,2,Low,1
2015-03-18,Moderate,2,Moderate,2,Low,1
2015-03-19,Considerable,3,Moderate,2,Low,1
2015-03-20,Moderate,2,Moderate,2,Low,1
2015-03-21,High,4,Considerable,3,Low,1
2015-03-22,Considerable,3,Moderate,2,Low,1
2015-03-23,Considerable,3,Considerable,3,Low,1
2015-03-24,Considerable,3,Moderate,2,Low,1
2015-03-25,Considerable,3,Moderate,2,Low,1
2015-03-26,Considerable,3,Considerable,3,Low,1
2015-03-27,High,4,Considerable,3,Low,1
2015-03-28,Considerable,3,Considerable,3,Low,1
2015-03-29,High,4,Considerable,3,Low,1
2015-03-30,High,4,Considerable,3,Low,1
2015-03-31,Considerable,3,Considerable,3,Low,1
2015-04-01,Considerable,3,Moderate,2,Low,1
2015-04-02,Considerable,3,Moderate,2,Low,1
2015-04-03,Considerable,3,Moderate,2,Low,1
2015-04-04,Considerable,3,Moderate,2,Low,1
2015-04-05,Moderate,2,Moderate,2,Low,1
2015-04-06,Moderate,2,Low,1,Low,1
2015-04-07,Moderate,2,Moderate,2,Low,1
2015-04-08,Moderate,2,Low,1,Low,1
2015-04-09,Moderate,2,Low,1,Low,1
2015-04-10,Low,1,Low,1,Low,1
2015-04-11,Moderate,2,Moderate,2,Low,1
2015-04-12,Moderate,2,Moderate,2,Low,1
2015-04-13,Considerable,3,Moderate,2,Low,1
2015-04-14,Considerable,3,Moderate,2,Low,1
2015-04-15,Moderate,2,Moderate,2,Low,1
2015-04-16,Considerable,3,Moderate,2,Low,1
2015-04-17,Considerable,3,Moderate,2,Low,1
2015-04-18,Considerable,3,Moderate,2,Low,1
2015-04-19,Considerable,3,Considerable,3,Low,1
2015-04-20,Considerable,3,Considerable,3,Low,1
2015-04-21,No Rating,0,No Rating,0,No Rating,0
2015-04-22,No Rating,0,No Rating,0,No Rating,0
2015-04-23,No Rating,0,No Rating,0,No Rating,0
2015-04-24,No Rating,0,No Rating,0,No Rating,0
2015-04-25,No Rating,0,No Rating,0,No Rating,0
2015-04-26,No Rating,0,No Rating,0,No Rating,0
2015-04-27,No Rating,0,No Rating,0,No Rating,0
2015-04-28,No Rating,0,No Rating,0,No Rating,0
2015-04-29,No Rating,0,No Rating,0,No Rating,0
2015-04-30,No Rating,0,No Rating,0,No Rating,0
2015-05-01,No Rating,0,No Rating,0,No Rating,0
2015-11-02,No Rating,0,No Rating,0,No Rating,0
2015-11-03,Moderate,2,Low,1,Low,1
2015-11-04,Moderate,2,Low,1,Low,1
2015-11-05,Moderate,2,Low,1,Low,1
2015-11-06,Moderate,2,Low,1,Low,1
2015-11-07,Moderate,2,Low,1,Low,1
2015-11-08,Moderate,2,Low,1,Low,1
2015-11-09,Moderate,2,Low,1,Low,1
2015-11-10,Moderate,2,Low,1,Low,1
2015-11-11,No Rating,0,No Rating,0,No Rating,0
2015-11-12,No Rating,0,No Rating,0,No Rating,0
2015-11-13,No Rating,0,No Rating,0,No Rating,0
2015-11-14,No Rating,0,No Rating,0,No Rating,0
2015-11-15,No Rating,0,No Rating,0,No Rating,0
2015-11-16,No Rating,0,No Rating,0,No Rating,0
2015-11-17,No Rating,0,No Rating,0,No Rating,0
2015-11-18,No Rating,0,No Rating,0,No Rating,0
2015-11-19,No Rating,0,No Rating,0,No Rating,0
2015-11-20,No Rating,0,No Rating,0,No Rating,0
2015-11-21,No Rating,0,No Rating,0,No Rating,0
2015-11-22,No Rating,0,No Rating,0,No Rating,0
2015-11-23,No Rating,0,No Rating,0,No Rating,0
2015-11-24,No Rating,0,No Rating,0,No Rating,0
